iter	Passed	Remaining
855	1057	177
856	1058	176
857	1059	175
858	1060	174
859	1061	172
860	1062	171
861	1063	170
862	1064	168
863	1065	167
864	1066	166
865	1067	165
866	1068	163
867	1069	162
868	1070	161
869	1071	160
870	1072	158
871	1073	157
872	1074	156
873	1074	154
874	1075	153
875	1076	152
876	1077	151
877	1078	149
878	1079	148
879	1080	147
880	1081	146
881	1082	144
882	1083	143
883	1084	142
884	1085	141
885	1086	139
886	1087	138
887	1088	137
888	1089	135
889	1090	134
890	1090	133
891	1092	132
892	1092	130
893	1093	129
894	1094	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1101	119
902	1102	118
903	1103	117
904	1104	115
905	1105	114
906	1106	113
907	1107	112
908	1108	110
909	1109	109
910	1110	108
911	1110	107
912	1112	105
913	1112	104
914	1113	103
915	1114	102
916	1115	100
917	1116	99
918	1117	98
919	1118	97
920	1119	96
921	1120	94
922	1121	93
923	1122	92
924	1123	91
925	1124	89
926	1124	88
927	1125	87
928	1126	86
929	1128	84
930	1129	83
931	1129	82
932	1130	81
933	1131	79
934	1132	78
935	1133	77
936	1134	76
937	1135	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1142	66
945	1143	65
946	1144	64
947	1145	62
948	1146	61
949	1147	60
950	1148	59
951	1149	57
952	1150	56
953	1151	55
954	1151	54
955	1152	53
956	1153	51
957	1154	50
958	1155	49
959	1156	48
960	1157	46
961	1158	45
962	1159	44
963	1160	43
964	1161	42
965	1162	40
966	1163	39
967	1164	38
968	1165	37
969	1166	36
970	1166	34
971	1167	33
972	1168	32
973	1169	31
974	1170	30
975	1171	28
976	1173	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1179	19
984	1180	17
985	1181	16
986	1182	15
987	1183	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1187	8
993	1188	7
994	1189	5
995	1190	4
996	1191	3
997	1193	2
998	1194	1
999	1195	0
